city,team1,team2,toss_winner,toss_decision,winner,first_innings_score,second_innings_score
3,3,6,3,2,6.0,0.7150066690130576,0.6991176319238787
8,8,7,7,1,7.0,0.821588113591424,0.5700815482062942
5,5,1,1,2,1.0,0.6995447848162134,0.7145887586832287
7,7,9,9,1,7.0,0.7035265622366209,0.7106689638836932
6,6,3,6,1,3.0,0.7014727307159014,0.7126962944073558
1,1,9,9,1,1.0,0.7026456721493012,0.7115399211638492
6,6,8,8,2,8.0,0.7028083782532835,0.7113792121344211
0,0,7,7,1,0.0,0.7023130012327302,0.7118682801610667
5,5,6,5,1,6.0,0.7028083782532835,0.7113792121344211
-1,9,3,3,2,3.0,0.7015610998395336,0.7126093061362192
7,7,8,7,2,8.0,0.7989896181933308,0.6013448179034017
6,6,5,6,1,5.0,0.7029351681296114,0.7112539275157607
1,1,5,5,2,1.0,0.7742889047510754,0.6328322779215519
0,0,6,6,1,6.0,0.7253453893362642,0.6883851147204036
3,3,8,3,1,3.0,0.8005026525567515,0.5993292110765207
1,1,7,1,1,1.0,0.711743396616461,0.7024395613665727
5,5,9,5,2,5.0,0.7001407149017564,0.7140048874740684
0,0,3,0,1,3.0,0.7020741827848284,0.7121038139674688
7,7,1,7,1,1.0,0.7021448105364912,0.7120341740651742
8,8,6,6,2,6.0,0.7026736398436252,0.7115123019800229
0,0,9,0,1,0.0,0.7316594712539656,0.6816703148328872
6,6,7,7,1,7.0,0.798921513170277,0.6014352964315569
5,5,0,5,2,5.0,0.703054692658077,0.7111357810794342
8,8,9,8,2,8.0,0.7032323103308193,0.7109601379168723
1,1,3,1,1,3.0,0.7025301812897969,0.7116539498779761
9,9,6,9,2,6.0,0.7627091331693349,0.6467416626289682
5,5,8,8,2,8.0,0.7021448105364912,0.7120341740651742
9,9,1,9,1,1.0,0.7033556304069442,0.7108381371134009
7,7,0,0,2,0.0,0.7015610998395336,0.7126093061362192
3,3,5,5,1,5.0,0.7630698656408077,0.6463160064170775
0,0,1,0,2,0.0,0.7009849862549792,0.7131760294941962
6,6,9,9,1,6.0,0.7034143927642639,0.7107799885000153
8,8,5,5,2,5.0,0.7030077142592762,0.7111822225646166
3,3,0,0,2,0.0,0.7026736398436252,0.7115123019800229
1,1,6,6,1,1.0,0.7019643891790419,0.7122120444955242
